SortOrder,State/Prov,Town,Site,year,State_Town_Yr,State_Town_Trap,Trap_Number,N_traps,Date_1May,Start_Day,Month,Region,Phenology,Latitude,Long,altitude,Days_of_ sampling,all_3_Pheno_periods,Log10_Tot_Biomass_Day,Log10_Nematocera_Day,Log10_Other Diptera_Day,Log10_Coleoptera_Day,Log10_Lepidoptera_Day,Log10_Hymenoptera_Day,Log10_Hemiptera_Day,Log10_Other_Unidentified_Day,Log10_Homoptera_Day,Mean_Temp,Max_Temp,MIN_Temp,Mean_WIND,Tot_Precip,Mean_Precip,Source_for_Weather,stn_id,stn_name,stn_latitude,stn_longitude,Total_Diptera,Nematocera (g),Other Diptera (g),Coleoptera (g),Lepidoptera (g),Araneae (g),Hymenoptera (g),Hemiptera (g),Homoptera,Orthoptera (g),total of Others (not Identified) (g),Neuroptera (g),Trichoptera,Odonata (g),Blattodea (Termites) (g),Thysanoptera,Psocoptera,Dermaptera (g),Plecoptera (g),Mecoptera (g),Isoptera (g),Ephemeroptera (g),Collembola (g),raphidioptera,Acari (mites),Megalaptura: Sialidae,Others -Not insects (FP),UnIdentified larvae,Notes,Lead_Contributors,Affliation
16,AK,King Salmon,AK_Cady_KingSalmon,2019,AK_King Salmon_2019,AK_King Salmon_1,1,1,72,11,July,1_West,,58.682,-156.673,8,3,,-0.305,,,,,,,,,15.8,20.2,11.1,2.3,8.2,2.73,stn,USW00025503,KING SALMON,58.6794,-156.6294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melissa Cady,U.S. Fish and Wildl. Service
17,AK,King Salmon,AK_Cady_KingSalmon,2019,AK_King Salmon_2019,AK_King Salmon_1,1,1,75,14,July,1_West,,58.682,-156.673,8,3,,-0.532,,,,,,,,,14.6,18.7,11.5,3.4,10,3.33,stn,USW00025503,KING SALMON,58.6794,-156.6294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melissa Cady,U.S. Fish and Wildl. Service
18,AK,King Salmon,AK_Cady_KingSalmon,2019,AK_King Salmon_2019,AK_King Salmon_1,1,1,78,17,July,1_West,,58.682,-156.673,8,3,,-0.004,,,,,,,,,15.8,21.9,12.4,2.5,7.9,2.63,stn,USW00025503,KING SALMON,58.6794,-156.6294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melissa Cady,U.S. Fish and Wildl. Service
19,AK,King Salmon,AK_Cady_KingSalmon,2019,AK_King Salmon_2019,AK_King Salmon_1,1,1,81,20,July,1_West,,58.682,-156.673,8,3,,-0.377,,,,,,,,,15.5,20,10.6,2.9,0,0,stn,USW00025503,KING SALMON,58.6794,-156.6294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melissa Cady,U.S. Fish and Wildl. Service
20,AK,King Salmon,AK_Cady_KingSalmon,2019,AK_King Salmon_2019,AK_King Salmon_1,1,1,84,23,July,1_West,,58.682,-156.673,8,3,,-0.376,,,,,,,,,15.4,20.2,9.2,3.7,10.1,3.37,stn,USW00025503,KING SALMON,58.6794,-156.6294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melissa Cady,U.S. Fish and Wildl. Service
21,AK,King Salmon,AK_Cady_KingSalmon,2019,AK_King Salmon_2019,AK_King Salmon_1,1,1,87,26,July,1_West,,58.682,-156.673,8,3,,-0.674,,,,,,,,,13.1,18,8.9,3.3,10.5,3.5,stn,USW00025503,KING SALMON,58.6794,-156.6294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melissa Cady,U.S. Fish and Wildl. Service
22,AK,King Salmon,AK_Cady_KingSalmon,2019,AK_King Salmon_2019,AK_King Salmon_1,1,1,90,29,July,1_West,,58.682,-156.673,8,3,,-0.433,,,,,,,,,14.2,20.5,8,2.7,0,0,stn,USW00025503,KING SALMON,58.6794,-156.6294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melissa Cady,U.S. Fish and Wildl. Service
23,BC,Delta,BC_Boyton_DeltaCWS,2019,BC_Delta_2019,BC_Delta_2,2,2,21,21,May,1_West,2. Ave lay date,49.08,-123.061,5,3,all 3 periods,-0.499,,,,,,,,,15.6,20.9,10.2,1.9,0.6,0.2,stn,USW00024217,BELLINGHAM INTL AP,48.7939,-122.5372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chloe Boynton,"Canadian Wildl. Service, Environ. and Climate Change Canada"
24,BC,Delta,BC_Boyton_DeltaCWS,2019,BC_Delta_2019,BC_Delta_1,1,2,38,7,June,1_West,3. Ave hatch date,49.08,-123.061,5,3,all 3 periods,-0.591,,,,,,,,,13.8,18.4,9.3,3.5,0.3,0.1,stn,USW00024217,BELLINGHAM INTL AP,48.7939,-122.5372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chloe Boynton,"Canadian Wildl. Service, Environ. and Climate Change Canada"
25,BC,Delta,BC_Boyton_DeltaCWS,2019,BC_Delta_2019,BC_Delta_1,1,2,52,21,June,1_West,4. Nestl. Day 12,49.08,-123.061,5,3,all 3 periods,-0.814,,,,,,,,,15.8,18.9,12.6,5.1,0.5,0.17,stn,USW00024217,BELLINGHAM INTL AP,48.7939,-122.5372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chloe Boynton,"Canadian Wildl. Service, Environ. and Climate Change Canada"
26,BC,Delta,BC_Boyton_DeltaCWS,2019,BC_Delta_2019,BC_Delta_2,2,2,21,21,May,1_West,2. Ave lay date,49.08,-123.061,5,3,all 3 periods,-0.671,,,,,,,,,15.6,20.9,10.2,1.9,0.6,0.2,stn,USW00024217,BELLINGHAM INTL AP,48.7939,-122.5372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chloe Boynton,"Canadian Wildl. Service, Environ. and Climate Change Canada"
27,BC,Delta,BC_Boyton_DeltaCWS,2019,BC_Delta_2019,BC_Delta_2,2,2,38,7,June,1_West,3. Ave hatch date,49.08,-123.061,5,3,all 3 periods,-0.387,,,,,,,,,13.8,18.4,9.3,3.5,0.3,0.1,stn,USW00024217,BELLINGHAM INTL AP,48.7939,-122.5372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chloe Boynton,"Canadian Wildl. Service, Environ. and Climate Change Canada"
28,BC,Delta,BC_Boyton_DeltaCWS,2019,BC_Delta_2019,BC_Delta_2,2,2,52,21,June,1_West,4. Nestl. Day 12,49.08,-123.061,5,3,all 3 periods,-0.416,,,,,,,,,15.8,18.9,12.6,5.1,0.5,0.17,stn,USW00024217,BELLINGHAM INTL AP,48.7939,-122.5372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chloe Boynton,"Canadian Wildl. Service, Environ. and Climate Change Canada"
29,BC,Hudson's Hope,BC_Nicholls_HudsonsHope,2020,BC_Hudson's Hope_2020,BC_Hudson's Hope_1,1,1,36,5,June,1_West,2. Ave lay date,56.119,-121.725,477,3,all 3 periods,-0.727,-2.084,-1.437,-2.069,-2.102,-1.668,-2.344,,,9.9,16,3.7,,23.2,7.73,stn,CA001181508,CHETWYND A,55.683,-121.633,0.1285,0.0217,0.1068,0.0226,0.0207,0.0183,0.0615,0.0106,,,,,,,,,,,,,,,,,,,,,,Emony Nicholls,"Ministry of Forests, Lands and Nat. Res. Operations"
30,BC,Hudson's Hope,BC_Nicholls_HudsonsHope,2020,BC_Hudson's Hope_2020,BC_Hudson's Hope_1,1,1,57,26,June,1_West,3. Ave hatch date,56.119,-121.725,477,3,all 3 periods,-0.072,-1.594,-0.625,-1.515,-1.481,-0.383,-1.983,,,13.7,18.2,9.2,,8,2.67,stn,CA001181508,CHETWYND A,55.683,-121.633,0.7826,0.0734,0.7092,0.0886,0.096,,1.2382,0.0282,,0.0107,,,,,,,,,,,,,,,,,,,,Emony Nicholls,"Ministry of Forests, Lands and Nat. Res. Operations"
31,BC,Hudson's Hope,BC_Nicholls_HudsonsHope,2020,BC_Hudson's Hope_2020,BC_Hudson's Hope_1,1,1,68,7,July,1_West,4. Nestl. Day 12,56.119,-121.725,477,3,all 3 periods,-0.711,-1.999,-1.258,-1.875,-2.495,-1.936,-2.157,,,14.5,21,8,,1.4,0.47,stn,CA001181508,CHETWYND A,55.683,-121.633,0.1897,0.0271,0.1626,0.037,0.0066,,0.0318,0.0179,,,,,,,,,,,,,,,,,,,,,,Emony Nicholls,"Ministry of Forests, Lands and Nat. Res. Operations"
32,BC,Prince George,BC_Dawson_UNBC,2019,BC_Prince George_2019,BC_Prince George_Stewards-114,1,2,27,27,May,1_West,2. Ave lay date,53.836,-123.057,704,3,all 3 periods,0.183,-2.046,-0.403,-0.797,-0.542,-0.251,-2.009,,,17.8,27.5,5,1.4,0,0,Contributor Dawson UNBC,,,,,1.2081,0.024,1.1841,0.4763,0.8589,0.0126,1.6802,0.0264,,,,0.0026,0.0026,,,0.0009,0.0001,,0.0011,,,,0.0003,,,,,,0.8589 Lep incl. 0.757 g larvae,"Russ Dawson, Jeannine Randall","Dept. of Ecosys. Sci. and Manag., Univ.of North. British Columbia"
33,BC,Prince George,BC_Dawson_UNBC,2019,BC_Prince George_2019,BC_Prince George_Stewards-114,1,2,45,14,June,1_West,3. Ave hatch date,53.836,-123.057,704,3,all 3 periods,-0.051,-2.671,-0.873,-2.626,-0.298,-1.106,-1.728,,,16.4,26,2.9,1,0,0,Contributor Dawson UNBC,,,,,0.4024,0.0034,0.399,0.0041,1.5089,0.064,0.2321,0.0531,,0.1037,,,,,,0.0003,0,,,,,,,,,,,,,"Russ Dawson, Jeannine Randall","Dept. of Ecosys. Sci. and Manag., Univ.of North. British Columbia"
34,BC,Prince George,BC_Dawson_UNBC,2019,BC_Prince George_2019,BC_Prince George_Stewards-114,1,2,60,29,June,1_West,4. Nestl. Day 12,53.836,-123.057,704,3,all 3 periods,-0.13,-2.486,-0.849,-0.967,-0.724,-0.837,-1.836,,,14.1,25.2,2,1,7.2,1.93,Contributor Dawson UNBC,,,,,0.429,0.0068,0.4222,0.3207,0.5632,0.0025,0.4333,0.0408,,0.1324,,0.0014,,,,,0,,,,,,,,,,,,Hymen incl. 0.0445 g larva,"Russ Dawson, Jeannine Randall","Dept. of Ecosys. Sci. and Manag., Univ.of North. British Columbia"
35,BC,Prince George,BC_Dawson_UNBC,2019,BC_Prince George_2019,BC_Prince George_Western-12,2,2,27,27,May,1_West,2. Ave lay date,53.811,-122.873,713,3,all 3 periods,0.311,-1.325,-0.326,-0.809,-1.02,-0.065,-1.896,,,16,29.2,2.2,1.1,0,0,Contributor Dawson UNBC,,,,,1.5533,0.1389,1.4144,0.463,0.2834,0.0465,2.5783,0.0351,,,,,0.0097,0.8705,,,,,,,,,,,,,,,,"Russ Dawson, Jeannine Randall","Dept. of Ecosys. Sci. and Manag., Univ.of North. British Columbia"
36,BC,Prince George,BC_Dawson_UNBC,2019,BC_Prince George_2019,BC_Prince George_Western-12,2,2,45,14,June,1_West,3. Ave hatch date,53.811,-122.873,713,3,all 3 periods,0.227,-0.46,-0.354,-1.188,-0.694,-0.431,-2.495,,,16.6,27.3,2.3,1,0,0,Contributor Dawson UNBC,,,,,2.3621,1.037,1.3251,0.1918,0.6046,0.0323,1.1088,0.0066,,,,,0.3652,0.0851,,,0.0007,,,,,,,,,,,,,"Russ Dawson, Jeannine Randall","Dept. of Ecosys. Sci. and Manag., Univ.of North. British Columbia"
37,BC,Prince George,BC_Dawson_UNBC,2019,BC_Prince George_2019,BC_Prince George_Western-12,2,2,60,29,June,1_West,4. Nestl. Day 12,53.811,-122.873,713,3,all 3 periods,0.193,-1.875,-0.431,-1.269,-0.171,-0.635,-2.36,,,13.5,25.5,1.8,0.8,3.6,1.93,Contributor Dawson UNBC,,,,,1.1473,0.037,1.1103,0.1583,2.022,0.0263,0.6927,0.0101,,,,0.0049,0.3091,,,,0.0005,,,,,0.0027,,,,,,,,"Russ Dawson, Jeannine Randall","Dept. of Ecosys. Sci. and Manag., Univ.of North. British Columbia"
38,BC,Prince George,BC_Dawson_UNBC,2020,BC_Prince George_2020,BC_Prince George_Stewards-114,1,2,25,25,May,1_West,2. Ave lay date,53.836,-123.057,704,3,all 3 periods,-0.701,-1.834,-1.194,,-2.481,-1.698,-2.778,,,9.2,17.5,-1.1,1.5,0.4,0.13,Contributor Dawson UNBC,,,,,0.2301,0.041,0.1891,,0.0069,0.0004,0.0572,0.002,,,,,,,,,,,,,,,,,,,,,,"Russ Dawson, Jeannine Randall","Dept. of Ecosys. Sci. and Manag., Univ.of North. British Columbia"
39,BC,Prince George,BC_Dawson_UNBC,2020,BC_Prince George_2020,BC_Prince George_Stewards-114,1,2,47,16,June,1_West,3. Ave hatch date,53.836,-123.057,704,3,all 3 periods,-0.469,-1.829,-1.224,-2.024,-1.101,-1.098,-2.814,,,15,23.6,3.3,1.2,0,0,Contributor Dawson UNBC,,,,,0.2178,0.0415,0.1763,0.0254,0.2348,0.0018,0.2364,0.0016,,,,,,,,,,,,,,,,,,,,,,"Russ Dawson, Jeannine Randall","Dept. of Ecosys. Sci. and Manag., Univ.of North. British Columbia"
40,BC,Prince George,BC_Dawson_UNBC,2020,BC_Prince George_2020,BC_Prince George_Stewards-114,1,2,60,29,June,1_West,4. Nestl. Day 12,53.836,-123.057,704,3,all 3 periods,-0.83,-1.813,-1.895,-2.946,,-1.78,-2.504,,,11.4,21,3.3,1,14.4,8.87,Contributor Dawson UNBC,,,,,0.0783,0.0431,0.0352,0.0004,,0.0115,0.0468,0.0064,,,,,,,,,,,,,,,,,,,,,,"Russ Dawson, Jeannine Randall","Dept. of Ecosys. Sci. and Manag., Univ.of North. British Columbia"
41,BC,Prince George,BC_Dawson_UNBC,2020,BC_Prince George_2020,BC_Prince George_Western-12,2,2,25,25,May,1_West,2. Ave lay date,53.811,-122.873,713,3,all 3 periods,-0.12,-1.721,-0.628,-1.579,-2.692,-0.633,-2.875,,,10.1,24.6,-2.9,1.2,0,0.13,Contributor Dawson UNBC,,,,,0.7577,0.054,0.7037,0.0761,0.0031,0.0154,0.695,0.001,,,,,0.4264,,,,,,,,,,,,,,,,,"Russ Dawson, Jeannine Randall","Dept. of Ecosys. Sci. and Manag., Univ.of North. British Columbia"
42,BC,Prince George,BC_Dawson_UNBC,2020,BC_Prince George_2020,BC_Prince George_Western-12,2,2,47,16,June,1_West,3. Ave hatch date,53.811,-122.873,713,3,all 3 periods,-0.052,-1.318,-0.46,-1.77,-1.206,-0.722,-2.678,,,14.9,24.5,3.2,1.2,0,0,Contributor Dawson UNBC,,,,,1.1792,0.1414,1.0378,0.0479,0.1838,0.0105,0.5657,0.0033,,,,,0.0593,0.3096,,,,,,,,0.0008,,,,,,,,"Russ Dawson, Jeannine Randall","Dept. of Ecosys. Sci. and Manag., Univ.of North. British Columbia"
43,BC,Prince George,BC_Dawson_UNBC,2020,BC_Prince George_2020,BC_Prince George_Western-12,2,2,60,29,June,1_West,4. Nestl. Day 12,53.811,-122.873,713,3,all 3 periods,-0.188,-1.939,-0.766,-2.729,-1.355,-0.608,-2.745,,,12.5,21.8,3.5,1.1,7.4,8.87,Contributor Dawson UNBC,,,,,0.5426,0.0315,0.5111,0.0026,0.1296,,0.7372,0.0024,,,,,0.2309,,,,,,,,,,,,,,,,,"Russ Dawson, Jeannine Randall","Dept. of Ecosys. Sci. and Manag., Univ.of North. British Columbia"
44,BC,Prince George,BC_Dawson_UNBC,2021,BC_Prince George_2021,BC_Prince George_Stewards-114,1,2,28,28,May,1_West,2. Ave lay date,53.836,-123.057,704,3,all 3 periods,-0.224,-1.442,-0.698,-2.745,-0.629,-1.733,-2.664,,,11.3,18.7,-0.2,1.9,0,0,Contributor Dawson UNBC,,,,,0.7032,0.1054,0.5978,0.0024,0.7027,0.0143,0.0525,0.0035,,,,,0.0067,,,,,,,,,,0.0038,,,,,,,"Russ Dawson, Jeannine Randall","Dept. of Ecosys. Sci. and Manag., Univ.of North. British Columbia"
45,BC,Prince George,BC_Dawson_UNBC,2021,BC_Prince George_2021,BC_Prince George_Stewards-114,1,2,46,15,June,1_West,3. Ave hatch date,53.836,-123.057,704,3,all 3 periods,-0.383,-2.117,-0.672,-1.611,-1.46,-1.83,-2.344,,,13.5,21.3,1.6,2.2,0.4,0.63,Contributor Dawson UNBC,,,,,0.6555,0.0199,0.6356,0.0705,0.101,0.0063,0.0414,0.0106,,0.0545,,,,,,,,,,,,,0.0025,,,,,,,"Russ Dawson, Jeannine Randall","Dept. of Ecosys. Sci. and Manag., Univ.of North. British Columbia"
46,BC,Prince George,BC_Dawson_UNBC,2021,BC_Prince George_2021,BC_Prince George_Stewards-114,1,2,58,27,June,1_West,4. Nestl. Day 12,53.836,-123.057,704,3,all 3 periods,-0.104,-2.325,-1.056,-2.986,-0.578,-1.524,-1.96,,,27.4,38.3,13.7,1,0,0,Contributor Dawson UNBC,,,,,0.2717,0.0112,0.2605,0.0001,0.7896,0.0273,0.0867,0.0299,,0.8536,,,,,,,,,,,,,0.0021,,,,,,Lep. Incl. 0.0017 g Larva,"Russ Dawson, Jeannine Randall","Dept. of Ecosys. Sci. and Manag., Univ.of North. British Columbia"
47,BC,Prince George,BC_Dawson_UNBC,2021,BC_Prince George_2021,BC_Prince George_Western-12,2,2,28,28,May,1_West,2. Ave lay date,53.811,-122.873,713,3,all 3 periods,-0.077,-1.4,-0.377,-1.769,-2.004,-0.653,-2.854,,,11.7,21.1,-0.7,1.2,0,0,Contributor Dawson UNBC,,,,,1.3724,0.1164,1.256,0.0481,0.0267,0.0329,0.6643,0.0012,,,,,0.0665,,,,,,,,,,0.0009,,,,,,,"Russ Dawson, Jeannine Randall","Dept. of Ecosys. Sci. and Manag., Univ.of North. British Columbia"
48,BC,Prince George,BC_Dawson_UNBC,2021,BC_Prince George_2021,BC_Prince George_Western-12,2,2,46,15,June,1_West,3. Ave hatch date,53.811,-122.873,713,3,all 3 periods,0.062,-1.897,-0.044,-1.725,-2.26,-1.075,-2.986,,,12.7,22.4,0.8,1.6,0.2,0.63,Contributor Dawson UNBC,,,,,2.7406,0.035,2.7056,0.0535,0.0135,0.0563,0.2493,0.0001,,,,,0.0438,,,,,,,,,,,,,,,,,"Russ Dawson, Jeannine Randall","Dept. of Ecosys. Sci. and Manag., Univ.of North. British Columbia"
49,BC,Prince George,BC_Dawson_UNBC,2021,BC_Prince George_2021,BC_Prince George_Western-12,2,2,58,27,June,1_West,4. Nestl. Day 12,53.811,-122.873,713,3,all 3 periods,0.224,-1.765,0.046,-1.313,-1.206,-0.853,-2.292,,,27.3,39.3,13.8,0.6,0,0,Contributor Dawson UNBC,,,,,3.3771,0.0485,3.3286,0.143,0.1839,0.0569,0.4182,0.0123,,,,,,0.5286,,,,,,,,,,,,,,,,"Russ Dawson, Jeannine Randall","Dept. of Ecosys. Sci. and Manag., Univ.of North. British Columbia"
50,BC,Surrey,BC_Jackson_Surrey,2020,BC_Surrey_2020,BC_Surrey_Brooksdale NE Field,1,3,20,20,May,1_West,2. Ave lay date,49.035,-122.688,43,3,all 3 periods,-0.711,-1.909,-1.384,-2.986,-1.448,-2.046,-2.986,,-2.986,10.3,13.1,16,4.1,11.6,0,stn,USW00024217,BELLINGHAM INTL AP,48.7939,-122.5372,0.155,0.034,0.121,0.0001,0.104,0.0001,0.024,0.0001,0.0001,,,,,,,0.0001,0.0001,,,,,,,,,,,,"1 tiny thysanoptera, 2 spiders, 2 big moths and 1 tiny","Michelle Jackson, Christy Juteau",A Rocha Canada
51,BC,Surrey,BC_Jackson_Surrey,2020,BC_Surrey_2020,BC_Surrey_Brooksdale NE Field,1,3,39,8,June,1_West,3. Ave hatch date,49.035,-122.688,43,3,all 3 periods,-0.435,-2.097,-0.967,-2.273,-1.334,-1.685,-2.301,,,12.4,15.5,18.6,2.5,9.6,4.17,stn,USW00024217,BELLINGHAM INTL AP,48.7939,-122.5372,0.342,0.021,0.321,0.013,0.136,0.091,0.059,0.012,,0.019,,,0.0001,,,,0.013,0.118,,,,,,,,,,,"1 orthoptera, 2 trichoptera, 2 arachnida","Michelle Jackson, Christy Juteau",A Rocha Canada
